Pop	Latitude
CZLU	48.852692
CZOS	49.8435451
DEDG	51.233333
DEMH	49.663874
DK	55.971545
EE	58.384923
ES	40.734138
FIE	60.34242
FIW	60.55693
FR	47.897121
HR	43.05231
IT	41.55914
LT	55.34641
NO	59.73894
PL	51.534002
ROTR	46.966139
RODD	44.632193
SE	55.70043
SK	48.37091
TR	39.76333
